"","Category","Species","Taxon","Order","Body.Mass..g.","LCT...C.","UCT...C.","Note.on.UCT.","TNZ...C.","Latitudinal.center...N.","Longitudinal.center...W.","Maximum.temperature","Minimum.temperature","Latitudinal.range","Range.size..Grid...","Latitudinal.maximum.....","Latitudinal.minimum.....","Elevation.maximum..meters.","Elevation.minimum..meters.","References"
"429","Mammals","Octodon degus","Octodontidae","Rodentia",206,27,35,NA,8,-31.88,-71.28,29.27,-10.76,6.29,49,35.02,28.74,NA,NA,"Arends and McNab 2001"
"430","Mammals","Octodontomys gliroides","Octodontidae","Rodentia",152,25,35,NA,10,-22.17,-67.01,28.13,-12.53,13.13,202,28.74,15.6,NA,NA,"Arends and McNab 2001"
"431","Mammals","Spalacopus cyanus","Octodontidae","Rodentia",185,26.5,34,NA,7.5,-31.71,-71.35,29.81,-11.45,9.22,59,36.32,27.1,NA,NA,"Contreras 1986; McNab 1979"
"432","Mammals","Pedetes capensis","Pedetidae","Rodentia",2300,23,33,NA,10,-21.04,23.77,37.02,-3.58,26.25,1682,34.17,7.92,NA,NA,"Müller et al., 1979"
"433","Mammals","Spermophilus beecheyi","Sciuridae","Rodentia",599.6,25,30,NA,5,37.7,-119.22,41.1,-9.39,18.46,249,46.93,28.47,NA,NA,"Baudinette 1972"
"434","Mammals","Ammospermophilus leucurus","Sciuridae","Rodentia",96,31,34,NA,3,33.45,-113.44,41.81,-20.73,21.28,509,44.09,22.81,NA,NA,"Dawson 1955"
"435","Mammals","Tamiasciurus hudsonicus","Sciuridae","Rodentia",231,15,27,"1b",12,50.08,-111.94,39.06,-36.83,35.77,4654,67.97,32.2,NA,NA,"Pauls 1981"
"436","Mammals","Cynomys ludovicianus","Sciuridae","Rodentia",1112.3,30,35,NA,5,39.33,-104.95,37.5,-19.47,20.09,828,49.37,29.29,NA,NA,"Reinking et al., 1977"
"437","Mammals","Spermophilus lateralis","Sciuridae","Rodentia",257,23,30,"1a",7,44.38,-114.3,39.93,-20.84,23.53,854,56.15,32.62,NA,NA,"Barros et al., 2001 in Tattersall and Milsom 2003"
"438","Mammals","Tamias striatus","Sciuridae","Rodentia",92.2,28.5,32,NA,3.5,40.8,-82.54,34.49,-27.5,22.2,1917,51.9,29.7,NA,NA,"Wang and Hudson 1971"
"439","Mammals","Tamias minimus","Sciuridae","Rodentia",50.6,26,34,NA,8,50.64,-109.35,41.19,-35.71,31.8,2380,66.55,34.74,NA,NA,"Willems and Armitage 1975"
"440","Mammals","Tamias merriami","Sciuridae","Rodentia",75,29,35,NA,6,35.64,-119.37,37.14,-8.86,6.03,63,38.65,32.62,NA,NA,"Wunder 1970"
"441","Mammals","Tachyoryctes splendens","Spalacidae","Rodentia",191,27,35,"1b",8,5.04,35.97,39.72,3.7,19.06,374,14.57,0,NA,NA,"McNab 1966"
"442","Mammals","Spalax leucodon","Spalacidae","Rodentia",207.7,25,34,"1b",9,43.35,24.14,33.82,-9.93,12.04,292,49.37,37.34,NA,NA,"McNab 1966"
"443","Mammals","Tupaia belangeri","Tupaiidae","Scandentia",186,27.5,35,NA,7.5,19.27,100.01,39.26,-20.7,21.69,1342,30.11,8.43,NA,NA,"Zhang et al., 2012"
"444","Mammals","Tupaia glis","Tupaiidae","Scandentia",123,30,37,NA,7,0.83,101.75,34.46,11.74,16.72,354,9.19,0,NA,NA,"Bradley and Hudson 1974"
"445","Mammals","Blarina brevicauda","Soricidae","Soricomorpha",20.5,25,33,NA,8,44.32,-85.5,34.36,-28.4,22.56,1881,55.6,33.04,NA,NA,"Deavers and Hudson 1981; Neal and Lustik 1973"
"446","Mammals","Neomys anomalus","Soricidae","Soricomorpha",13.4,25,30,NA,5,42.17,22.76,40.73,-14.06,25.77,1553,55.06,29.29,NA,NA,"Gebczynska and Gebczynski 1965"
"447","Mammals","Neomys fodiens","Soricidae","Soricomorpha",14.2,25,30,NA,5,55.06,67.89,33.9,-39.18,31.93,5790,71.03,39.1,NA,NA,"Gebczynska and Gebczynski 1965"
"448","Mammals","Notiosorex crawfordi","Soricidae","Soricomorpha",4,32,36,"1b",4,29.34,-107.34,41.81,-20.79,18.62,1011,38.65,20.04,NA,NA,"Lindstedt 1980"
"449","Mammals","Sorex minutus","Soricidae","Soricomorpha",4.45,24,30,"1a",6,48.73,52.63,40.9,-41.11,44.6,6315,71.03,26.43,NA,NA,"McDevitt and Andrews 1995"
"450","Mammals","Sorex cinereus","Soricidae","Soricomorpha",3.5,25,30,NA,5,52.88,-110.45,34.81,-38.78,36.28,5198,71.03,34.74,NA,NA,"Morrison et al., 1959"
"451","Mammals","Neurotrichus gibbsii","Talpidae","Soricomorpha",11.8,25,32,NA,7,43.17,-122.53,35.92,-13.48,13.41,139,49.87,36.47,NA,NA,"Campbell and Hochachka 2000"
"452","Mammals","Condylura cristata","Talpidae","Soricomorpha",49,24.5,33,"1a",8.5,42.86,-77.86,33.61,-29.45,25.49,1668,55.6,30.11,NA,NA,"Campbell et al., 1999"
"453","Mammals","Scalopus aquaticus","Talpidae","Soricomorpha",48,26,33,NA,7,35.63,-87.54,36.85,-21.04,21.64,1575,46.45,24.81,NA,NA,"McNab 1979"
